song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
49_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО МАРУСЮ БОГУСЛАВКУ,дума,1910 р.,Сластіон О.,Богодухівський повіт Харківської губернії,Пасюга С.,45 р.
50_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО УДОВУ,дума,1910 р.,Сластіон О.,,Пасюга С.,
51_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО СЕСТРУ І БРАТА,дума,1910 р.,Сластіон О.,,Пасюга С.,
52_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ОЛЕКСІЯ ПОПОВИЧА,дума,1910 р.,Сластіон О.,,Кучугура-Кучеренко І.,
53_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО УДОВУ,дума,1910 р.,Сластіон О.,,Кучугура-Кучеренко І.,
54_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО СМЕРТЬ КОЗАКА-БАНДУРНИКА,дума,1910 р.,Сластіон О.,,Кучугура-Кучеренко І.,
55_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ОЛЕКСІЯ ПОПОВИЧА,дума,1910 р.,Сластіон О.,хутір Залютин біля Харкова,Древченко П.,1863 р.
56_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО УДОВУ,дума,,Сластіон О.,,Древченко П.,
57_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО КОНОВЧЕНКА,дума,1924 р.,Квітка К.,с. Бейзимівка (нині Житомирського району),син незрячого лірника Гуменюка С.,
58_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО КОЗАКА ЛЕТЯГУ (НЕТЯГУ),дума,,Квітка К.,Сисницький повіт Чернігівської губернії,Кулик П.,
59_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО КОНОВЧЕНКА,дума,#########,Гайдай М.,с. Адамівка Хмельницької області,Васькін І.,
60_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО КОНОВЧЕНКА,дума,#########,Гайдай М.,с. Станіславівка Зіньківського району на Поділлі (нині Хмельницький раойн),Бернацький І,70 р.
61_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ТРЬОХ БРАТІВ ОЗІВСЬКИХ,дума,#########,Гайдай М.,с. Велика Багачка Великобагачанського (нині Полтавського) району Полтавської області,Кушниренко Ф.,64 р.
62_Hrytsa_2007_Ukrainski_narodni_dumy,"ЕЙ, ЯК НА ПОЛІ КИЛИЇМСЬКОМУ (ДУМА ПРО КОЗАКА ГОЛОТУ)",дума,1936 р.,Харків В.,с. Чорнолозка Саханівського (нині Краснодарського) району Харківської області,Обліченко Г.,
63_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО САМАРСЬКИХ БРАТІВ,дума,1936 р.,Харків В.,,Обліченко Г.,
64_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО МАРУСЮ БОГУСЛАВКУ,дума,1930 р.,Харків В.,с. Ков'яги на Харківщині (нині Богодухівського району Харківської області),Гончар В.,
65_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО МАРУСЮ БОГУСЛАВКУ,дума,1930 р.,Харків В.,с. Ков'яги на Харківщині (нині Богодухівського району Харківської області),Гончар В.,
66_Hrytsa_2007_Ukrainski_narodni_dumy,ДУМА ПРО ОЛЕКСІЯ ПОПОВИЧА,дума,1930 р.,,ймовірно Харківщина,Гончар В.,
67а_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО СЕСТРУ І БРАТА,дума,1930 р.,Харків В.,,Гончар В.,
67б_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО СЕСТРУ І БРАТА,дума,1930 р.,Харків В.,,Гончар В.,
68_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ВДОВУ І ТРЬОХ СИНІВ,дума,1930 р.,Харків В.,,Гончар В.,
