song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
2.12_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНЫЦЬКІЙ ВЕЛЫКІЙ;дума;1924 р.;Мартинович П.;с. Шидіїв (Шидієве), Полтавщина (нині Новосанжарського району Полтавської області);Довгополий О.;
2.13_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНЫКЪ;дума;1931-1932 рр.;Мартинович П.;с. Петрівка Красноградського повіту Полтавської губернії (нині Красноградського району Харківської області);Жадан (Дирда) Т.;
2.14_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИЦЬКІЙ ПЛАЧ;дума;;;;;
3.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДУМА О МАРУСѢ БОГУСЛАВКѢ;дума;;Ніговський М.;с. Красний Кут Богодухівського повіту Харківської губернії (нині с. Краснокутськ Богодухівського району Харківської області);Ригоренко (Григоренко) М.;
3.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;МАРУСЯ БОГУСЛАВКА;дума;1850-і рр.;Метлинський А.;Зіньківськи повіт Полтавської області;;
3.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;МАРУСЯ ПОПІВНА БОГУСЛАВКА. ЗАПОРОЗЬКА ПІСНЯ;дума;30 січня 1886 р.;Мартнович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Чекан С.;
3.4а_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДІВКА-БРАНКА;дума;;Горленко В.;с. Дейкалівка Зіньківського повіту Полтавської губернії (нині Полтавський район);Кулик М. (Гордієць);1815-1817 рр.
3.4б_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДИВКА-БРАНКА;дума;;Мартнович П.;с. Дейкалівка Зіньківського повіту Полтавської губернії (нині Полтавський район);Кулик (Гордієць) М. ;
3.5_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;МАРУСЯ-БРАНКА;дума;25 жовтня 1893 р.;Мартнович П.;с. Хрестище Костянтиноградського повіту Полтавської губернії (Красноградського району Харківської області);Видюченко Х.;
3.6_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДИВКЫ МАРУСИ-ПОПИВНЫ БОГОСЛАВКЫ ПИСЬНЯ;дума;1901-1904 рр.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;
